,object_id,address1,address2,city,zip_code,state_code,country_code,latitude,longitude
188,c:10251,1525 Faraday Avenue,Suite 250,Carlsbad,92008,CA,USA,33.136055,-117.29433600000002
189,c:10252,,,San Francisco,0,CA,USA,37.775196,-122.419204
190,c:10256,3 Highwood Drive,,Tewksbury,01876,MA,USA,42.513762,-71.243267
191,c:1026,,,0,97070,OR,USA,45.3085,-122.77941
192,c:10262,1821 Sidewinder Drive,,Park City,84068,UT,USA,0.0,0.0
193,c:10263,240 N Broadway,Suite 126,Portland,97227,OR,USA,45.5349042,-122.6687628
194,c:10270,5482 Wilshire Blvd. #419,,Los Angeles,90036,CA,USA,34.062262,-118.348198
195,c:10271,,,Arlington,0,VA,USA,38.881579,-77.103339
196,c:10272,225 Santa Monica Blvd.,12th Floor,Santa Monica,90401,CA,USA,34.01529420000001,-118.4965479
197,c:10273,169 University Ave,,Palo Alto,94301,CA,USA,37.444393,-122.163139
198,c:10274,70 NE Loop 410,Suite 725,San Antonio,78216,TX,USA,29.520005,-98.488402
199,c:10275,PO Box 7775,#70726,San Francisco,94120-7775,CA,USA,37.7753,-122.4186
200,c:10276,208 Road 40,,Satanta,67870,KS,USA,37.692806,-101.053533
201,c:102767,"6060 Dutchmans Lane, Suite 250",,Louisville,40205,KY,USA,0.0,0.0
202,c:10277,15333 N. Pima Rd.,Ste. 245,Scottsdale,85260,AZ,USA,33.625166,-111.889222
203,c:102783,,,New York,10007,NY,USA,0.0,0.0
204,c:1028,1553 Platte St,Suite #50,Denver,80202,CO,USA,39.742627,-104.95391399999998
205,c:10281,1900 S. Norfolk Street,Suite 150,San Mateo,94403,CA,USA,0.0,0.0
206,c:102836,909 Lake Carolyn Parkway,,Irving,75039,TX,USA,0.0,0.0
207,c:102849,11000 North IH-35,,Austin,78753,TX,USA,0.0,0.0
208,c:102850,345 Court Street,,Coraopolis,15108,PA,USA,0.0,0.0
209,c:102851,11616 NE Halsey St,,Portland,97220,OR,USA,0.0,0.0
210,c:102867,902 Broadway 4th,,New York City,10010,NY,USA,0.0,0.0
211,c:102898,,,Boston,0,MA,USA,0.0,0.0
212,c:102908,425 S. Cherry St. Suite 840,,Denver,80246,CO,USA,0.0,0.0
213,c:102912,,,Denver,80112,CO,USA,0.0,0.0
214,c:102933,,,New York,0,NY,USA,0.0,0.0
215,c:10295,"24 Roy Street,",Suite 210,Seattle,98109,WA,USA,47.6254784,-122.3564234
216,c:10296,20 South Clark Street,Suite 2150,Chicago,60603,IL,USA,0.0,0.0
217,c:10298,,,0,0,0,USA,35.428318,-97.4913054
218,c:10299,9050 58th Drive East,,Lakewood Ranch,34202,FL,USA,0.0,0.0
219,c:103,167 2nd Ave,,San Mateo,94401,CA,USA,37.421621,-122.137444
220,c:103029,,,Makawao,96768,HI,USA,0.0,0.0
221,c:10308,,,0,10031,NY,USA,40.822087,-73.950677
222,c:103088,HC78 Box 2A,,Rock Cave,26234,WV,USA,0.0,0.0
223,c:10309,6565 Kilgour Place,,Dublin,43017,OH,USA,40.102564,-83.12687199999998
224,c:10310,"5758, Yerington Ave.",,Las Vegas,89110,NV,USA,36.170206,-115.0479
225,c:103118,1601 Placentia ave,,Costa Mesa,92627,CA,USA,0.0,0.0
226,c:10313,180 Golf Club Rd.,#238,Pleasant Hill,94523,CA,USA,37.9715275,-122.0686077
227,c:10314,27 Spaulding Street,,Amherst,01002,MA,USA,42.375658,-72.519284
228,c:103155,20-22 West 12th Street,,Cincinnati,45202,OH,USA,0.0,0.0
